trans_id,lang,translation,category,station_sid,course_sid
己斐本町二丁目,ja-Hrkt,こいほんまちにちょうめ,stop_name,eaf4fb74-a63f-46cb-87bf-2123340e7b3b,
戸河内落合,ja,戸河内落合,stop_name,499ff352-4ec9-4988-b550-d688cf2f7ebf,
戸河内落合,ja-Hrkt,とごうちおちあい,stop_name,499ff352-4ec9-4988-b550-d688cf2f7ebf,
戸河内落合,en,Togochi Ochiai,stop_name,499ff352-4ec9-4988-b550-d688cf2f7ebf,
戸河内落合,ko,도고치 오치아이,stop_name,499ff352-4ec9-4988-b550-d688cf2f7ebf,
戸河内落合,zh-ch,户河内落合,stop_name,499ff352-4ec9-4988-b550-d688cf2f7ebf,
戸河内落合,zh-tw,戶河內落合,stop_name,499ff352-4ec9-4988-b550-d688cf2f7ebf,
鈴が峰住宅,ja,鈴が峰住宅,stop_name,dd46d398-22c9-421f-8733-5a80b22bdd66,
鈴が峰住宅,ja-Hrkt,すずがみねじゅうたく,stop_name,dd46d398-22c9-421f-8733-5a80b22bdd66,
上二河町,ja,上二河町,stop_name,bed4cb90-2168-47e6-859b-2de2e557b69f,
上二河町,ja-Hrkt,かみにこうちょう,stop_name,bed4cb90-2168-47e6-859b-2de2e557b69f,
古市小学校前,ja,古市小学校前,stop_name,af6289a8-79fc-43d8-8a33-baf9eaee6edb,
古市小学校前,ja-Hrkt,ふるいちしょうがっこ,stop_name,af6289a8-79fc-43d8-8a33-baf9eaee6edb,
